dwc:taxonID	dcterms:language	dwc:vernacularName
3B3X2	eng	sundew eriococcin
3B3WH	eng	Davidson eriococcin
3B3WM	eng	Denno eriococcin
3B3Y7	eng	Froebe eriococcin
3B3X9	eng	pointed hair eriococcin
3B3VB	eng	Mount Diablo eriococcin
3B3VB	eng	grass eriococcin
3B3TL	eng	Barr eriococcin
3B446	eng	middle seta eriococcin
3B43Z	eng	large pore eriococcin
3B44H	eng	single seta eriococcin
3B449	eng	small seta eriococcin
3B44V	eng	Munro's felt scale
66TV4	eng	duck mussel
6766G	eng	Western floater
67675	eng	California floater
5V5W5	eng	Oregon floater
6766M	eng	winged floater
5V66R	eng	swan mussel
6766X	eng	Fretted anodonta
3GVSV	eng	Western ridged mussel
4M6YJ	eng	black river mussel
6Y53F	eng	scribbled mussel
55JJQ	eng	Mauge's slug
55JJN	eng	ear-shelled slug
55JJN	eng	earshell slug
55JJN	eng	shelled slug
7C3CL	eng	Sowerby's shield shelled slug
6DBFR	eng	keeled disc snail
6DBFT	eng	radiated snail
6DBFT	eng	rotund disc snail
6DBFT	eng	rounded snail
6DBG5	eng	brown disc snail
3WC64	eng	smooth coil
3WC65	eng	Singley's subterranean discus snail
43BW2	eng	greenhouse slug
43BW2	eng	jet slug
43BW2	eng	keeled slug
43BW2	eng	small black slug
43BW8	eng	black slug
54P2K	eng	bulb-eating slug
54P2K	eng	root-eating slug
54NZS	eng	Budapest slug
54P2Q	eng	Sowerby's keeled slug
54P2Q	eng	Sowerby's slug
54P2Q	eng	keeled slug
84SPW	eng	giant glass snail
84SPW	eng	large glass snail
3JWNT	eng	minute gem
3JWNT	eng	minute gem snail
7G5H2	eng	crystal snail
5BMC9	eng	Transylvanian crystal snail
7G5GQ	eng	contracted glass snail
7G5GQ	eng	milky crystal snail
64X5V	eng	clear glass snail
64X5V	eng	delicate glass snail
65964	eng	dull glass snail
65964	eng	smooth glass snail
65964	eng	waxy glass snail
7GF7W	eng	bark snail
7GF7W	eng	quick glass snail
7GF7W	eng	quick gloss
