ppn,maa2,jvu,titel,deeltitel,editie,impressum,epn,copy_counter,sgn,mms_id_item,item_policy,mms_id_holding,mms_id,kmc4821,kmc4850
851146201,Aa,1985,@Van Beek en land en mensenhand : feestbundel voor R. van Beek bij zijn zeventigste verjaardag / red.: V.T. van Vilsteren en D.J. de Vries,,,Utrecht : Stichting Matrijs,097820938,1,NA 1985/402,23455009780007151,Reading room,22455009790007151,991030654309707151,,
851146201,Aa,1985,@Van Beek en land en mensenhand : feestbundel voor R. van Beek bij zijn zeventigste verjaardag / red.: V.T. van Vilsteren en D.J. de Vries,,,Utrecht : Stichting Matrijs,018628443,2,4822 A 17,23455009760007151,Reading room,22455009770007151,991030654309707151,,
851179142,Aa,1985,@Cog finds from the IJsselmeerpolders / by Reinder Reinders,,,Lelystad : Rijksdienst voor de IJsselmeerpolders,097830682,1,GE 60014/248-1,23388034700007151,Reading room,22388034710007151,991030695999707151,,
851189857,Aa,1985,"@Landarbeiders en leerbewerkers in de late middeleeuwen : opgravingen in 's-Gravenhage / [tekst: J.R. Magendans, J.A. Waasdorp]",,,"'s-Gravenhage : Gemeente 's-Gravenhage, Afd. Verkeer en Vervoer, Openbare Werken en Monumentenzorg",097832839,1,5000815,23367330720007151,Reading room,22367330730007151,991030710389707151,,
851189857,Aa,1985,"@Landarbeiders en leerbewerkers in de late middeleeuwen : opgravingen in 's-Gravenhage / [tekst: J.R. Magendans, J.A. Waasdorp]",,,"'s-Gravenhage : Gemeente 's-Gravenhage, Afd. Verkeer en Vervoer, Openbare Werken en Monumentenzorg",018584144,2,S 4664 1985 [1],23367330700007151,Reading room,22367330710007151,991030710389707151,,
85127241X,Aa,1985,"@Gerrit van der Heide : vijftig jaar in touw voor natuur- en cultuurbehoud : een vriendenboek ter gelegenheid van zijn zeventigste verjaardag / samenstelling: J.G. Berkhout, J. Trijsburg en F.D. Zeiler",,,Zwolle : Culturele Raad Overijssel,097849472,1,ND 1985/2609,23466589530007151,Reading room,22466589540007151,991030810179707151,,
851288588,Aa,1985,@Archeologische streekbeschrijving : een handleiding / J.M. Bos,,1#1e dr,Vlaardingen : Archeologische Werkgemeenschap Nederland,097854239,1,GD 3220/4-1,23432145500007151,Reading room,22432145530007151,991030834979707151,,
851322786,Aa,1984,@Inventarisatie archeologische monumenten in Friesland : overzicht van archeologisch belangrijke terreinen in Friesland / [inventarisatie Rijksdienst voor het Oudheidkundig Bodemonderzoek en het Fries Museum],,,[Leeuwarden] : Provincie Friesland,1282434314,1,14077313 [ -14077317 ],23423843650007151,Reading room,22423843660007151,991030882529707151,,
851322786,Aa,1984,@Inventarisatie archeologische monumenten in Friesland : overzicht van archeologisch belangrijke terreinen in Friesland / [inventarisatie Rijksdienst voor het Oudheidkundig Bodemonderzoek en het Fries Museum],,,[Leeuwarden] : Provincie Friesland,1282434314,1,14077313 [ -14077317 ],23423843610007151,Reading room,22423843660007151,991030882529707151,,
851322786,Aa,1984,@Inventarisatie archeologische monumenten in Friesland : overzicht van archeologisch belangrijke terreinen in Friesland / [inventarisatie Rijksdienst voor het Oudheidkundig Bodemonderzoek en het Fries Museum],,,[Leeuwarden] : Provincie Friesland,1282434314,1,14077313 [ -14077317 ],23423843620007151,Reading room,22423843660007151,991030882529707151,,
851322786,Aa,1984,@Inventarisatie archeologische monumenten in Friesland : overzicht van archeologisch belangrijke terreinen in Friesland / [inventarisatie Rijksdienst voor het Oudheidkundig Bodemonderzoek en het Fries Museum],,,[Leeuwarden] : Provincie Friesland,1282434314,1,14077313 [ -14077317 ],23423843630007151,Reading room,22423843660007151,991030882529707151,,
851322786,Aa,1984,@Inventarisatie archeologische monumenten in Friesland : overzicht van archeologisch belangrijke terreinen in Friesland / [inventarisatie Rijksdienst voor het Oudheidkundig Bodemonderzoek en het Fries Museum],,,[Leeuwarden] : Provincie Friesland,1282434314,1,14077313 [ -14077317 ],23423843640007151,Reading room,22423843660007151,991030882529707151,,
851593305,Aa,1985,@Archeologische kroniek van Limburg over 1983 / W.J.H. Willems,,,[Amersfoort] : ROB,097923796,1,GE 80189/233-1,23463644360007151,Reading room,22463644370007151,991031263579707151,,
851593496,Aa,1985,@Bewoning uit de Midden en Late IJzertijd en de Romeinse tijd in de Stevenshofjespolder in Leiden / R.M. van Heeringen,,,[Amersfoort] : ROB,097923877,1,GE 80189/237-1,23464339590007151,Reading room,22464339600007151,991031263949707151,,
851679021,Aa,1984,"@Eicha Museum Bergeijk / Johan Biemans, Jos Deeben, Frans Theuws ; ill. Harmke van Kuilenburg",,,Bergeijk : Stichting Eicha,83763864X,1,5296152,23437003550007151,Reading room,22437003560007151,991031409589707151,,
851679021,Aa,1984,"@Eicha Museum Bergeijk / Johan Biemans, Jos Deeben, Frans Theuws ; ill. Harmke van Kuilenburg",,,Bergeijk : Stichting Eicha,339058005,2,MEG 515,23437003570007151,Reading room,22437003580007151,991031409589707151,,
85186239X,Aa,1985,"@Archeologie in de praktijk : methoden en technieken voor de (amateur-)archeoloog / K.J. Steehouwer, A.H.C. Warringa (red.)",,,Weesp : Fibula-Van Dishoeck,097988278,1,NA 1985/1857,23399807800007151,Reading room,22399807810007151,991031671549707151,,
